uid,arota,bladder,duodenum,esophagus,gall bladder,left adrenal gland,left kidney,liver,pancreas,postcava,prostate/uterus,right adrenal gland,right kidney,spleen,stomach
amos_0147,0.9619232707118693,0.9219716208944233,0.8511281224818694,0.9042729380589599,0.9587335332751225,0.856559051900286,0.9191995799544951,0.9622782647185738,0.8515269839473337,0.8612688768546647,,0.8389982110912343,0.8780791551470771,0.9373472238389011,0.9557766534234327
amos_0397,0.8728200098087298,0.6597780198828817,0.5459177384229773,0.7204771371769384,0.8385920947716141,0.5992217898832685,0.8924869922792884,0.9595455608808057,0.701001869517281,0.5833419129002368,,0.44011849344054166,0.8454018474029139,0.9449189942825851,0.8883991308409946
amos_0069,0.9155853570134107,0.8378506679928567,0.7697325717253019,0.7760072158749248,0.9124218051831993,0.6509834168916313,0.9361987741249177,0.9545396147595592,0.7863262220729044,0.8024369848285748,,0.6680244399185336,0.9495184997465788,0.9517492230173707,0.9304826122127076
amos_0356,0.9200386753686246,0.8019241124313458,0.47117817759721414,0.6299144373443084,,0.5570145127850725,0.8848313821910536,0.9650086258173777,0.771908221483397,0.6655099666791537,,0.2872340425531915,0.8730048969108536,0.9641015454292639,0.7263006052599622
amos_0138,0.9199430072576695,0.8831322519194135,0.5216037368625924,0.6914329037149356,0.8482160328745678,0.4189100459619173,0.9208255718649877,0.9654165084658279,0.7981564011731993,0.5601231217852659,,0.6396508728179551,0.8846417451583214,0.8359622977471549,0.7938608489490722
amos_0032,0.925204790034444,0.9139524704549551,0.8039882166326762,0.8495695514272769,0.9170968721530519,0.7889009793253536,0.9545707308817485,0.9609909401398682,0.8792120269569725,0.8767252751580067,,0.791219056515647,0.9593391652343449,0.954229094524634,0.9618431977226901
amos_0544,0.753251207075493,,0.19380507938868852,0.6805849528574177,0.6878201479795105,0.5454545454545454,0.938188917098903,0.6840936411592756,0.6439598610575068,0.25409663865546217,,0.32273545290941813,0.7936704933291964,0.9028231539872573,0.7466814749949274
amos_0024,0.9332116788321168,0.887574945065143,0.7414250230247551,0.8387524883875249,0.8372578587170861,0.5570422535211268,0.9501003877042371,0.9613756634772097,0.8395774699367667,0.853801856857445,,0.6792849631966351,0.9397543507145867,0.9476346555862389,0.9314043155288292
amos_0030,0.8933328021883175,0.7728779840848806,0.7520730091752122,0.37432963889882015,0.9252723645849317,0.7528795811518325,0.9725014223402237,0.9775258408112333,0.8361852339356228,0.8427644088912203,,0.8190618019359642,0.9710360892725622,0.9657364187108948,0.9015326190153262
amos_0085,0.8848008531552836,0.9427937208020195,0.6439252336448598,0.7839300582847627,0.0006489292667099286,0.833409402099498,0.9623371513508787,0.9172518389086415,0.7684007707129095,0.7237953108431843,,0.610011641443539,0.9648419915368687,0.9072187568567219,0.8547101449275363
amos_0547,0.9117959617428267,,0.17775406142535277,0.40888308295231873,0.0,0.8181818181818182,0.9450371185042618,0.8739780965602345,0.7032840090213983,0.6067458074241567,,0.6326241134751773,0.936535120984513,0.9583173194507529,0.6896252743382014
